sentence_key_furigana	sentence_key_plain	Word	Sentence	Word Audio	Sentence Audio	Definition	Definition Audio	Image	Notes
彼[かれ]はタオルで<b>顔[かお]</b>を 拭[ふ]きました。	彼はタオルで<b>顔</b>を 拭きました。	顔[かお]:0-	彼[かれ]はタオルで<b>顔[かお]</b>を 拭[ふ]きました。	[sound:5af5be2f3625fb1bbc5ea5dcb100faba-78796f870d0965ba11a5b0c1c5e6e93a0356cc83.mp3]	[sound:a44a6be3f27f185e736da411e77b3755-c69ccadf20e29c3fabbf8f07926a585a4ee25dd7.mp3]	<!-- def-type=\"bilingual\" -->A person's face.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->目や鼻や口がついている、頭の前の部分。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00216.mp3]<!-- def-end -->	\"<img src=\"\"body_face_man.png\"\">\"	He wiped his face with a towel.
<b>今朝[けさ]</b>は 早[はや]く 家[いえ]を 出[で]ました。	<b>今朝</b>は 早く 家を 出ました。	今朝[けさ]:1-	<b>今朝[けさ]</b>は 早[はや]く 家[いえ]を 出[で]ました。	[sound:けさ_ケ＼サ_1_NHK-2016.mp3]	[sound:9dacb03589203d36e185bc5a77c0bca5-8025772f1d1e2523aefdeb1fcc2d347231a3d891.mp3]	<!-- def-type=\"bilingual\" -->This morning.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->今日の朝のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00217.mp3]<!-- def-end -->	\"<img alt=\"\"モーニングコールのイラスト\"\" src=\"\"hotel_morning_call.webp\"\">\"	I left the house early this morning.
今朝[けさ]は 早[はや]く 家[いえ]を<b>出[で]ました</b>。	今朝は 早く 家を<b>出ました</b>。	出[で]る:k1	今朝[けさ]は 早[はや]く 家[いえ]を<b>出[で]ました</b>。	[sound:81b72f3b710b7bf770f4ea10f2352c21-d448508df160fdd778f0ea915051762f35539298.mp3]	[sound:9dacb03589203d36e185bc5a77c0bca5-8025772f1d1e2523aefdeb1fcc2d347231a3d891.mp3]	<!-- def-type=\"bilingual\" -->To come out or emerge from somewhere; to leave.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->今いる場所から外へ行くこと<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00218.mp3]<!-- def-end -->	\"<img src=\"\"home_gaisyutsu_girl.webp\"\">\"	I left the house early this morning.
このロボットは 言[こと] 葉[ば]が 分[わ]かります。<b>そして</b>、ダンスも 出[で] 来[き]ます。	このロボットは 言 葉が 分かります。<b>そして</b>、ダンスも 出 来ます。	そして:0 / -	このロボットは 言[こと] 葉[ば]が 分[わ]かります。<b>そして</b>、ダンスも 出[で] 来[き]ます。	[sound:そして_ソシテ━_0_NHK-2016.mp3]	[sound:JLPT_Tango_N5_1018.mp3]	<!-- def-type=\"bilingual\" -->A connector meaning \"and then\" or \"also\"; links one statement to the next.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->あることを言った後に、もう一つ付け足す時の繋ぎ言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00219.mp3]<!-- def-end -->	\"<img src=\"\"fukidashi13.webp\"\">\"	This robot understands words. On top of that, it can also dance.
宿[しゅく] 題[だい]は<b>まだ</b> 終[お]わっていません。	宿 題は<b>まだ</b> 終わっていません。	まだ:1-	宿[しゅく] 題[だい]は<b>まだ</b> 終[お]わっていません。	[sound:5c6778535a1d9666a6d6f8cf5519760b-85da3a8d28d38ee0a8d89a10719efe26836ac3f8.mp3]	[sound:6b576501251de4de54d392da57cb57dc-88d4deef1b9661fd046ced9bad716947e26c323f.mp3]	<!-- def-type=\"bilingual\" -->Still; not yet; indicates something hasn't happened or changed up to now.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->こうなるはずなのに、今もそうなっていない様子。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00220.mp3]<!-- def-end -->	\"<img alt=\"\"勉強が不調な人のイラスト（女性） | かわいいフリー素材集 いらすとや\"\" src=\"\"slump_bad_woman_study.webp\"\">\"	I haven't finished my homework yet.
<b>じゃ</b>、それをください。	<b>じゃ</b>、それをください。	じゃ	<b>じゃ</b>、それをください。	[sound:じゃ_ジャ＼_1_NHK-2016.mp3]	[sound:JLPT_Tango_N5_0649.mp3]	<!-- def-type=\"bilingual\" -->A casual way of saying \"well then\" or \"in that case,\" moving things along.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->「それなら」と、前の話を受けて次に進むときの言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00221.mp3]<!-- def-end -->	\"<img alt=\"\"さようなら」と言っている人のイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"aisatsu_sayounara-dd853fff270e774755a62c94ef072c5d33396e19.webp\"\">\"	Okay, then I'll have that one.
これは 医[い] 者[しゃ]の<b>ため</b>のサイトです。	これは 医 者の<b>ため</b>のサイトです。	ため:2-	これは 医[い] 者[しゃ]の<b>ため</b>のサイトです。	[sound:fc8d9c0fab0e492b7e912aab23561d60-ecdf24f43be364fc6bb975112e3cf03d43f66dac.mp3]	[sound:8549d5e5b49b051fdfe9c4f6e04bc487-3d95109fb3fe241d5db89228e5da2cce8424b3ad.mp3]	<!-- def-type=\"bilingual\" -->For the sake of or benefit of someone; means \"for\" in the sense of purpose.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->誰かの役に立つようにという気持ち。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00222.mp3]<!-- def-end -->	\"<img src=\"\"salaryman_money.webp\"\">\"	This is a website made for doctors.
私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。	私はパンより<b>ご 飯</b>が 好きだ。	ご 飯[はん]:1-	私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。	[sound:8983df855c5999341a519a20ec59dbc2-1508ddd93017f68a29d8b4363f9af6a7bcd87ca0.mp3]	[sound:b6d3a02654ee66435727737f0f6c9492-ba7046d245ef7274aea1038925fbc840dfbd5514.mp3]	<!-- def-type=\"bilingual\" -->Cooked rice; also used broadly to mean a meal.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->お米を炊いて食べられるようにしたもの。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00223.mp3]<!-- def-end -->	\"<img src=\"\"food_tamagokakegohan.webp\"\">\"	I prefer rice to bread.
私[わたし]は 友[とも] 達[だち]の<b>ところ</b>に 泊[と]まった。	私は 友 達の<b>ところ</b>に 泊まった。	ところ:3-	私[わたし]は 友[とも] 達[だち]の<b>ところ</b>に 泊[と]まった。	[sound:0cca740e90071cf95a4c8214a070241c-31bbde72768bbddadebb97fb61e3022d4ed2d2cc.mp3]	[sound:adb3a581454e1af454cf9aa796dfa573-a3483ef96be1bbf03e2046d4f7a0cc05bfe31bf4.mp3]	<!-- def-type=\"bilingual\" -->A place, spot, or someone's home; where someone or something is.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->その人がいる場所や、その人の家のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00224.mp3]<!-- def-end -->	\"<img alt=\"\"ホビットの家のイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"building_hobbit_house.webp\"\">\"	I stayed at my friend's place for the night.<br><br>If modified in front then it is accented, otherwise it's flat. There are exceptions: ところ＼で, ところ＼が, ところ＼へ, いまのところ￣ and このところ￣.
<b>少[すこ]し</b> 疲[つか]れました。	<b>少し</b> 疲れました。	少[*すこ]し:2 / -	<b>少[すこ]し</b> 疲[つか]れました。	[sound:d6f6da4aa7647f6159d59442b0674b16-f341acbe4b0062fb5beef45eb4bfa179e76937f5.mp3]	[sound:1efa4f67cbcbb29300bef634daa85e3e-f37913bcaff11bf3522c572b4dd82b4879b60446.mp3]	<!-- def-type=\"bilingual\" -->A small amount; a little bit.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->ちょっとだけ、という量や程度のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00225.mp3]<!-- def-end -->	\"<img src=\"\"business_woman3_3_sleep.webp\"\">\"	I'm a little tired.
ここから 富[ふ] 士[じ] 山[さん]がよく<b>見[み]えます</b>。	ここから 富 士 山がよく<b>見えます</b>。	見[み]える:k2	ここから 富[ふ] 士[じ] 山[さん]がよく<b>見[み]えます</b>。	[sound:a549e52159bf8ad1affa6e5381b6ea0d-a6603e19c0dde2eaebfebeb448e8d9094430c711.mp3]	[sound:d57875a4e5ee3a631d397267669023aa-7ab36aafbaaaecd997e9972ce4c860f8983a419b.mp3]	<!-- def-type=\"bilingual\" -->To be visible; something can be seen naturally, without effort.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->目を開けていて、自然にものが目に入ること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00226.mp3]<!-- def-end -->	\"<img alt=\"\"実体顕微鏡を使う人のイラスト（女性） | かわいいフリー素材集 いらすとや\"\" src=\"\"science_kenbikyou_woman.webp\"\">\"	You can see Mount Fuji well from here.
答[こた]えが<b>違[ちが]います</b>。	答えが<b>違います</b>。	違[ちが]う:0	答[こた]えが<b>違[ちが]います</b>。	[sound:0c35b5768fb87a72e5983c16b8b7c469-b1da4ffc64d9f1b915ad63f5d5beedf1f7af7910.mp3]	[sound:b7bc55b9f84d88a2a33b70a01ab15b35-9e0283fa8113fcd5bed12a487520977bb13477ee.mp3]	<!-- def-type=\"bilingual\" -->To be different or wrong; something doesn't match what's expected.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->正しいものと合っていないこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00227.mp3]<!-- def-end -->	\"<img alt=\"\"ねじれ国会のイラスト（政治） | かわいいフリー素材集 いらすとや\"\" src=\"\"nejirekokkai.webp\"\">\"	That's the wrong answer.
<b>男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。	<b>男</b>の 人が 私たちに 話しかけた。	男[おとこ]:3-	<b>男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。	[sound:05afd54bff492d40b1d839494c3b87d9-0feda564d3b748ac031b271f29b662ba25326f9d.mp3]	[sound:4f466b182e027fa0a7e6006a421c740e-d9af5f3366b4e079879df6f51d1a9786dd8461bf.mp3]	<!-- def-type=\"bilingual\" -->A man; an adult male person.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->お父さんやお兄さんのほうの人<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00228.mp3]<!-- def-end -->	\"<img src=\"\"face_smile_man2.webp\"\">\"	A man began talking to us.
この 温[おん] 泉[せん]は<b>ただ</b>です。	この 温 泉は<b>ただ</b>です。	ただ:1-	この 温[おん] 泉[せん]は<b>ただ</b>です。	[sound:0fcaa26c3a704baca73d394963ef7e89-1ce91a2f6ad920ca2db88ef37c15f81fd8ceb17f.mp3]	[sound:9b7869f816aced2aab3dd5ff40bbb159-467491d07848770cb4d67ddcf0e43e1d74d45c40.mp3]	<!-- def-type=\"bilingual\" -->Free; costs nothing.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->お金を払わなくていいこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00229.mp3]<!-- def-end -->	\"<img src=\"\"car_taxi_free.webp\"\">\"	This hot spring is free.
私[わたし]は<b>ただ</b> 彼[かの] 女[じょ]と 話[はな]したかっただけです。	私は<b>ただ</b> 彼 女と 話したかっただけです。	ただ:1-	私[わたし]は<b>ただ</b> 彼[かの] 女[じょ]と 話[はな]したかっただけです。	[sound:49b63345de745210d379683d597a0670.mp3]	[sound:498e7f955386a5cb6cb9627df2159f60.mp3]	<!-- def-type=\"bilingual\" -->Just; simply; nothing more than that.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->それだけで、他には何もないということ。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00230.mp3]<!-- def-end -->	\"<img alt=\"\"勉強が好調な人のイラスト（女性） | かわいいフリー素材集 いらすとや\"\" src=\"\"slump_good_woman_study.webp\"\">\"	I just wanted to speak with her.
<b>人[にん] 間[げん]</b>の 心[こころ]は 複[ふく] 雑[ざつ]です。	<b>人 間</b>の 心は 複 雑です。	人[にん] 間[げん]:0-	<b>人[にん] 間[げん]</b>の 心[こころ]は 複[ふく] 雑[ざつ]です。	[sound:008aa76a44bd59d6f3bdd996cca1a900-e51846b68ce7cc62835c09e1e94076f15f9b0222.mp3]	[sound:1097a84510567b8764bd76400ac0106e-52afca3cd50557973982632c0903a80af7b41a0c.mp3]	<!-- def-type=\"bilingual\" -->A human being; a person, with emphasis on what makes us human.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->私たちのように考えたり気持ちを持ったりする生き物。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00231.mp3]<!-- def-end -->	\"<img src=\"\"figure_service.webp\"\">\"	The human mind is a complex thing.
今[いま]、 朝[あさ]ご 飯[はん]を<b>作[つく]っています</b>。	今、 朝ご 飯を<b>作っています</b>。	作[つく]る:k2	今[いま]、 朝[あさ]ご 飯[はん]を<b>作[つく]っています</b>。	[sound:6f0951279a64a81133b2c6acfb3d3020-2eaa51cf10c2cb113f607b8507d951884d35e5f2.mp3]	[sound:1449095d14368d2e96c9f8c63a1a3be1-a69f0dcbab8afd728dee5043c593011ac57c72ad.mp3]	<!-- def-type=\"bilingual\" -->To make or create something, usually with your hands or effort.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->材料を使って、新しいものを生み出すこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00232.mp3]<!-- def-end -->	\"<img src=\"\"figure_tsukuru_genkeishi.webp\"\">\"	I'm making breakfast now.
膝[ひざ]に 痛[いた]みを<b>感[かん]じます</b>。	膝に 痛みを<b>感じます</b>。	感[かん]じる:0	膝[ひざ]に 痛[いた]みを<b>感[かん]じます</b>。	[sound:559836ca58df41da0686ec30971c7c9f-a56a7f362f63afa076a0d83a31d419023eaa3fb2.mp3]	[sound:505ff8f1692829b885a74e09f2b0f468-5322cc48059ccbb422c96479fd52dfed6f8fe474.mp3]	<!-- def-type=\"bilingual\" -->To feel or sense something physically or emotionally.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->体や心で何かに気づくこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00233.mp3]<!-- def-end -->	\"<img alt=\"\"関節痛のイラスト（ひざ） | かわいいフリー素材集 いらすとや\"\" src=\"\"kansetsutsuu_hiza.webp\"\">\"	I feel a pain in my knee.
<b>上[うえ]</b>を 向[む]いて。	<b>上</b>を 向いて。	上[うえ]:0-	<b>上[うえ]</b>を 向[む]いて。	[sound:1d280ce35addf9331ef1e782596838c3-148e341584f0ba95b9e4767d32069638fc12f269.mp3]	[sound:1b2e2b02de3181d01f18d01197c426e9-53beb9adcd753319f81fd41784b86b567f8ffa6c.mp3]	<!-- def-type=\"bilingual\" -->The top or upper part of something; \"above.\"<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->頭や空のある、高いほうの方向のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00234.mp3]<!-- def-end -->	\"<img src=\"\"mark_arrow_up.webp\"\">\"	Look up.<br><br>If modified then うえ＼ (その上に would be そのうえ＼に) otherwise うえ￣.
今日[きょう]は 風[かぜ]が<b>強[つよ]い</b>。	今日は 風が<b>強い</b>。	強[つよ]い:k2	今日[きょう]は 風[かぜ]が<b>強[つよ]い</b>。	[sound:3a1adeecf69e803bb74d2488c951eb57-c7bffd8b07b81f2c4f6a0d80c29aa9a5645da565.mp3]	[sound:24f15a5117be4bf535982d1d316420c5-3e0fd801198e4cd9ead730e644628b52e18ee09c.mp3]	<!-- def-type=\"bilingual\" -->Strong; having great force or power.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->力や勢いが大きいこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00235.mp3]<!-- def-end -->	\"<img src=\"\"business_woman_macho.webp\"\">\"	The wind is strong today.
彼[かれ]はかばんから 教[きょう] 科[か] 書[しょ]を<b>出[だ]した</b>。	彼はかばんから 教 科 書を<b>出した</b>。	出[だ]す:k1	彼[かれ]はかばんから 教[きょう] 科[か] 書[しょ]を<b>出[だ]した</b>。	[sound:947d4453b5acfc64bf282fdc37f85391-4172f5d11011814fc35bd743e05f42a85bebacae.mp3]	[sound:8335736cdeaf3e6e7d3b478c2edd57f8-422561f171c5bbc814e662ea026c2dde9fab93f0.mp3]	<!-- def-type=\"bilingual\" -->To take something out; to pull or bring something from inside to outside.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->中にあるものを外に持ってくること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00236.mp3]<!-- def-end -->	\"<img src=\"\"school_toshokan_hondana.webp\"\">\"	He took the textbook out of his bag.
赤[あか]ん 坊[ぼう]が<b>笑[わら]っています</b>。	赤ん 坊が<b>笑っています</b>。	笑[わら]う:0	赤[あか]ん 坊[ぼう]が<b>笑[わら]っています</b>。	[sound:3e18ffe0e928717549e3cbad413532e2-d14b9fb90f1c78bf8b25fc8b33a76ae5de5c286b.mp3]	[sound:29acbd97abaeb71bf99ea876ad78727e-a662a090f67dfa41d253129b8f6f03858b29683e.mp3]	<!-- def-type=\"bilingual\" -->To laugh or smile.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->おもしろいときやうれしいときに、口を開けて「あはは」と声を出すこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00237.mp3]<!-- def-end -->	\"<img src=\"\"pose_warau_kuchi_kakusu_woman.webp\"\">\"	The baby is laughing.
私[わたし]は<b>毎[まい] 月[つき]</b> 貯[ちょ] 金[きん]をしています。	私は<b>毎 月</b> 貯 金をしています。	毎[まい] 月[つき]:0-	私[わたし]は<b>毎[まい] 月[つき]</b> 貯[ちょ] 金[きん]をしています。	[sound:598V.mp3]	[sound:598S.mp3]	<!-- def-type=\"bilingual\" -->Every month; monthly.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->ひと月もとばさず、どの月もということ。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00238.mp3]<!-- def-end -->	\"<img src=\"\"text3_maitsuki.webp\"\">\"	I save money every month.
<b>毎[まい] 年[とし]</b>、クリスマスに 国[くに]へ 帰[かえ]ります。	<b>毎 年</b>、クリスマスに 国へ 帰ります。	毎[まい] 年[とし]:0-	<b>毎[まい] 年[とし]</b>、クリスマスに 国[くに]へ 帰[かえ]ります。	[sound:908V.mp3]	[sound:JLPT_Tango_N4_0029.mp3]	<!-- def-type=\"bilingual\" -->Every year; each year.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->どの年もとばさず関係なくということ。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00239.mp3]<!-- def-end -->	\"<img src=\"\"text4_maitoshi.webp\"\">\"	I return to my country on Christmas of every year.
毎[まい] 年[とし]<b>多[おお]く</b>の 人[ひと]が 海[かい] 外[がい]へ 旅[りょ] 行[こう]する。	毎 年<b>多く</b>の 人が 海 外へ 旅 行する。	多[おお]く:k1	毎[まい] 年[とし]<b>多[おお]く</b>の 人[ひと]が 海[かい] 外[がい]へ 旅[りょ] 行[こう]する。	[sound:a95936e4149e2dacee230ef5e6544e13-b9eaec9fcdd43184ce7d9647960b5e09d8eb8b3d.mp3]	[sound:27f81effe35a5a9819fb68677341cbec-889288ee79ae1c0c579c708801b383a2f2488f44.mp3]	<!-- def-type=\"bilingual\" -->A large number or amount of something; \"many\" or \"much.\"<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->数や量がたくさんあること。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00240.mp3]<!-- def-end -->	\"<img alt=\"\"情報過多で苦しむ人のイラスト | かわいいフリー素材集 いらすとや\"\" src=\"\"jouhou_hanran.webp\"\">\"	Each year, a lot of people travel abroad.
毎[まい] 日[にち]、 ７[しち] 時[じ] 間[かん]<b>くらい</b> 眠[ねむ]ります。	毎 日、 ７ 時 間<b>くらい</b> 眠ります。	くらい:p1	毎[まい] 日[にち]、 ７[しち] 時[じ] 間[かん]<b>くらい</b> 眠[ねむ]ります。	[sound:くらい_クライ━_0_NHK-2016.mp3]	[sound:kuraiS.mp3]	<!-- def-type=\"bilingual\" -->About; approximately; gives a rough estimate of an amount.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->ぴったりその数ではなく「だいたいそのあたり」という意味の言葉。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00241.mp3]<!-- def-end -->	\"<img alt=\"\"算数・数学のマーク | かわいいフリー素材集 いらすとや\"\" src=\"\"math_mark12_plus_minus.webp\"\">\"	I sleep for about seven hours every day.<br><br>The word くらい compounds like ○○く＼らい for the most part. There are multiple exceptions:<br>1. くらい is flat if after これ, この, それ, その, あれ, or あの.<br>2. どれくらい and どのくらい can either be atamadaka or heiban.<br>3. くらい may or may not compound with verbs, adjectives, and adjectival nouns.<br>4. After either flat verbs or flat adjectives, くらい is く＼らい, while it can either be くらい￣ or く＼らい after flat adjectival nouns.
<b>姉[あね]</b>は 大[だい] 学[がく] 生[せい]です。	<b>姉</b>は 大 学 生です。	姉[あね]:0-	<b>姉[あね]</b>は 大[だい] 学[がく] 生[せい]です。	[sound:2235a976f91a1da18a792458289369af-8c107712a2062be818058e7a52b9fc6547a2ffdf.mp3]	[sound:ff13bab6f51460312e323853acdcfa46-ba5501970da213a053ad231403596613d32d88da.mp3]	<!-- def-type=\"bilingual\" -->Your older sister, when talking about your own.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分より年上の女のきょうだい。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00242.mp3]<!-- def-end -->	\"<img src=\"\"family_shimai.webp\"\">\"	My big sister is a college student.
<b>弟[おとうと]</b>にプレゼントをあげました。	<b>弟</b>にプレゼントをあげました。	弟[おとうと]:4-	<b>弟[おとうと]</b>にプレゼントをあげました。	[sound:562794e3220a59fcc835c5de933e2e92-fbe329f3b8515620ac3c018ec54a50563ad1dafe.mp3]	[sound:JLPT_Tango_N5_0717.mp3]	<!-- def-type=\"bilingual\" -->A younger brother.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->同じ親から生まれた、自分より年下の男の子。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00243.mp3]<!-- def-end -->	\"<img src=\"\"family_kyoudai.webp\"\">\"	I gave a present to my younger brother.
私[わたし]の<b>妹[いもうと]</b>は 小[しょう] 学[がく] 生[せい]です。	私の<b>妹</b>は 小 学 生です。	妹[いもうと]:4-	私[わたし]の<b>妹[いもうと]</b>は 小[しょう] 学[がく] 生[せい]です。	[sound:62eed918bfc99c443b1179b7e3cbcff4-e4f2398db6170531221be25df7abb550ef7be981.mp3]	[sound:ce1e7bc46249e165c6fcbc9eb8b518b5-86e95c7f432f6cff34fb450c8e610a39b3cd5325.mp3]	<!-- def-type=\"bilingual\" -->A younger sister.<!-- def-end --><!-- def-br-start --><br><br><!-- def-br-end --><!-- def-type=\"LOCKED_monolingual\" -->自分より年下の、同じお父さんお母さんから生まれた女の子のこと。<!-- def-end -->	<!-- def-type=\"monolingual\" TTS-SOURCE: Google-Chirp3-HD-Algenib -->[sound:mvj-monolingual-definition-00244.mp3]<!-- def-end -->	\"<img src=\"\"family_shimai.webp\"\">\"	My little sister goes to elementary school.
